",""Id"",""Sex"",""Pclass"",""Fare"""
"406,406,""male"",2,21"
"407,407,""male"",3,7.75"
"408,408,""male"",2,18.75"
"409,409,""male"",3,7.775"
"410,410,""female"",3,25.4667"
"411,411,""male"",3,7.8958"
"412,412,""male"",3,6.8583"
"413,413,""female"",1,90"
"414,414,""male"",2,0"
"415,415,""male"",3,7.925"
"416,416,""female"",3,8.05"
"417,417,""female"",2,32.5"
"418,418,""female"",2,13"
"419,419,""male"",2,13"
"420,420,""female"",3,24.15"
"421,421,""male"",3,7.8958"
"422,422,""male"",3,7.7333"
"423,423,""male"",3,7.875"
"424,424,""female"",3,14.4"
"425,425,""male"",3,20.2125"
"426,426,""male"",3,7.25"
"427,427,""female"",2,26"
"428,428,""female"",2,26"
"429,429,""male"",3,7.75"
"430,430,""male"",3,8.05"
"431,431,""male"",1,26.55"
"432,432,""female"",3,16.1"
"433,433,""female"",2,26"
"434,434,""male"",3,7.125"
"435,435,""male"",1,55.9"
"436,436,""female"",1,120"
"437,437,""female"",3,34.375"
"438,438,""female"",2,18.75"
"439,439,""male"",1,263"
"440,440,""male"",2,10.5"
"441,441,""female"",2,26.25"
"442,442,""male"",3,9.5"
"443,443,""male"",3,7.775"
"444,444,""female"",2,13"
"445,445,""male"",3,8.1125"
"446,446,""male"",1,81.8583"
"447,447,""female"",2,19.5"
"448,448,""male"",1,26.55"
"449,449,""female"",3,19.2583"
"450,450,""male"",1,30.5"
"451,451,""male"",2,27.75"
"452,452,""male"",3,19.9667"
"453,453,""male"",1,27.75"
"454,454,""male"",1,89.1042"
"455,455,""male"",3,8.05"
"456,456,""male"",3,7.8958"
"457,457,""male"",1,26.55"
"458,458,""female"",1,51.8625"
"459,459,""female"",2,10.5"
"460,460,""male"",3,7.75"
"461,461,""male"",1,26.55"
"462,462,""male"",3,8.05"
"463,463,""male"",1,38.5"
"464,464,""male"",2,13"
"465,465,""male"",3,8.05"
"466,466,""male"",3,7.05"
"467,467,""male"",2,0"
"468,468,""male"",1,26.55"
"469,469,""male"",3,7.725"
"470,470,""female"",3,19.2583"
"471,471,""male"",3,7.25"
"472,472,""male"",3,8.6625"
"473,473,""female"",2,27.75"
"474,474,""female"",2,13.7917"
"475,475,""female"",3,9.8375"
"476,476,""male"",1,52"
"477,477,""male"",2,21"
"478,478,""male"",3,7.0458"
"479,479,""male"",3,7.5208"
"480,480,""female"",3,12.2875"
"481,481,""male"",3,46.9"
"482,482,""male"",2,0"
"483,483,""male"",3,8.05"
"484,484,""female"",3,9.5875"
"485,485,""male"",1,91.0792"
"486,486,""female"",3,25.4667"
"487,487,""female"",1,90"
"488,488,""male"",1,29.7"
"489,489,""male"",3,8.05"
"490,490,""male"",3,15.9"
"491,491,""male"",3,19.9667"
"492,492,""male"",3,7.25"
"493,493,""male"",1,30.5"
"494,494,""male"",1,49.5042"
"495,495,""male"",3,8.05"
"496,496,""male"",3,14.4583"
"497,497,""female"",1,78.2667"
"498,498,""male"",3,15.1"
"499,499,""female"",1,151.55"
"500,500,""male"",3,7.7958"
"501,501,""male"",3,8.6625"
"502,502,""female"",3,7.75"
"503,503,""female"",3,7.6292"
"504,504,""female"",3,9.5875"
"505,505,""female"",1,86.5"
"506,506,""male"",1,108.9"
"507,507,""female"",2,26"
"508,508,""male"",1,26.55"
"509,509,""male"",3,22.525"
"510,510,""male"",3,56.4958"
"511,511,""male"",3,7.75"
"512,512,""male"",3,8.05"
"513,513,""male"",1,26.2875"
"514,514,""female"",1,59.4"
"515,515,""male"",3,7.4958"
"516,516,""male"",1,34.0208"
"517,517,""female"",2,10.5"
"518,518,""male"",3,24.15"
"519,519,""female"",2,26"
"520,520,""male"",3,7.8958"
"521,521,""female"",1,93.5"
"522,522,""male"",3,7.8958"
"523,523,""male"",3,7.225"
"524,524,""female"",1,57.9792"
"525,525,""male"",3,7.2292"
"526,526,""male"",3,7.75"
"527,527,""female"",2,10.5"
"528,528,""male"",1,221.7792"
"529,529,""male"",3,7.925"
"530,530,""male"",2,11.5"
"531,531,""female"",2,26"
"532,532,""male"",3,7.2292"
"533,533,""male"",3,7.2292"
"534,534,""female"",3,22.3583"
"535,535,""female"",3,8.6625"
"536,536,""female"",2,26.25"
"537,537,""male"",1,26.55"
"538,538,""female"",1,106.425"
"539,539,""male"",3,14.5"
"540,540,""female"",1,49.5"
"541,541,""female"",1,71"
"542,542,""female"",3,31.275"
"543,543,""female"",3,31.275"
"544,544,""male"",2,26"
"545,545,""male"",1,106.425"
"546,546,""male"",1,26"
"547,547,""female"",2,26"
"548,548,""male"",2,13.8625"
"549,549,""male"",3,20.525"
"550,550,""male"",2,36.75"
"551,551,""male"",1,110.8833"
"552,552,""male"",2,26"
"553,553,""male"",3,7.8292"
"554,554,""male"",3,7.225"
"555,555,""female"",3,7.775"
"556,556,""male"",1,26.55"
"557,557,""female"",1,39.6"
"558,558,""male"",1,227.525"
"559,559,""female"",1,79.65"
"560,560,""female"",3,17.4"
"561,561,""male"",3,7.75"
"562,562,""male"",3,7.8958"
"563,563,""male"",2,13.5"
"564,564,""male"",3,8.05"
"565,565,""female"",3,8.05"
"566,566,""male"",3,24.15"
"567,567,""male"",3,7.8958"
"568,568,""female"",3,21.075"
"569,569,""male"",3,7.2292"
"570,570,""male"",3,7.8542"
"571,571,""male"",2,10.5"
"572,572,""female"",1,51.4792"
"573,573,""male"",1,26.3875"
"574,574,""female"",3,7.75"
"575,575,""male"",3,8.05"
"576,576,""male"",3,14.5"
"577,577,""female"",2,13"
"578,578,""female"",1,55.9"
"579,579,""female"",3,14.4583"
"580,580,""male"",3,7.925"
"581,581,""female"",2,30"
"582,582,""female"",1,110.8833"
"583,583,""male"",2,26"
"584,584,""male"",1,40.125"
"585,585,""male"",3,8.7125"
"586,586,""female"",1,79.65"
"587,587,""male"",2,15"
"588,588,""male"",1,79.2"
"589,589,""male"",3,8.05"
"590,590,""male"",3,8.05"
"591,591,""male"",3,7.125"
"592,592,""female"",1,78.2667"
"593,593,""male"",3,7.25"
"594,594,""female"",3,7.75"
"595,595,""male"",2,26"
"596,596,""male"",3,24.15"
"597,597,""female"",2,33"
"598,598,""male"",3,0"
"599,599,""male"",3,7.225"
"600,600,""male"",1,56.9292"
"601,601,""female"",2,27"
"602,602,""male"",3,7.8958"
"603,603,""male"",1,42.4"
"604,604,""male"",3,8.05"
"605,605,""male"",1,26.55"
"606,606,""male"",3,15.55"
"607,607,""male"",3,7.8958"
"608,608,""male"",1,30.5"
"609,609,""female"",2,41.5792"
"610,610,""female"",1,153.4625"
"611,611,""female"",3,31.275"
"612,612,""male"",3,7.05"
"613,613,""female"",3,15.5"
"614,614,""male"",3,7.75"
"615,615,""male"",3,8.05"
"616,616,""female"",2,65"
"617,617,""male"",3,14.4"
"618,618,""female"",3,16.1"
"619,619,""female"",2,39"
"620,620,""male"",2,10.5"
"621,621,""male"",3,14.4542"
"622,622,""male"",1,52.5542"
"623,623,""male"",3,15.7417"
"624,624,""male"",3,7.8542"
"625,625,""male"",3,16.1"
"626,626,""male"",1,32.3208"
"627,627,""male"",2,12.35"
"628,628,""female"",1,77.9583"
"629,629,""male"",3,7.8958"
"630,630,""male"",3,7.7333"
"631,631,""male"",1,30"
"632,632,""male"",3,7.0542"
"633,633,""male"",1,30.5"
"634,634,""male"",1,0"
"635,635,""female"",3,27.9"
"636,636,""female"",2,13"
"637,637,""male"",3,7.925"
"638,638,""male"",2,26.25"
"639,639,""female"",3,39.6875"
"640,640,""male"",3,16.1"
"641,641,""male"",3,7.8542"
"642,642,""female"",1,69.3"
"643,643,""female"",3,27.9"
"644,644,""male"",3,56.4958"
"645,645,""female"",3,19.2583"
"646,646,""male"",1,76.7292"
"647,647,""male"",3,7.8958"
"648,648,""male"",1,35.5"
"649,649,""male"",3,7.55"
"650,650,""female"",3,7.55"
"651,651,""male"",3,7.8958"
"652,652,""female"",2,23"
"653,653,""male"",3,8.4333"
"654,654,""female"",3,7.8292"
"655,655,""female"",3,6.75"
"656,656,""male"",2,73.5"
"657,657,""male"",3,7.8958"
"658,658,""female"",3,15.5"
"659,659,""male"",2,13"
"660,660,""male"",1,113.275"
"661,661,""male"",1,133.65"
"662,662,""male"",3,7.225"
"663,663,""male"",1,25.5875"
"664,664,""male"",3,7.4958"
"665,665,""male"",3,7.925"
"666,666,""male"",2,73.5"
"667,667,""male"",2,13"
"668,668,""male"",3,7.775"
"669,669,""male"",3,8.05"
"670,670,""female"",1,52"
"671,671,""female"",2,39"
"672,672,""male"",1,52"
"673,673,""male"",2,10.5"
"674,674,""male"",2,13"
"675,675,""male"",2,0"
"676,676,""male"",3,7.775"
"677,677,""male"",3,8.05"
"678,678,""female"",3,9.8417"
"679,679,""female"",3,46.9"
"680,680,""male"",1,512.3292"
"681,681,""female"",3,8.1375"
"682,682,""male"",1,76.7292"
"683,683,""male"",3,9.225"
"684,684,""male"",3,46.9"
"685,685,""male"",2,39"
"686,686,""male"",2,41.5792"
"687,687,""male"",3,39.6875"
"688,688,""male"",3,10.1708"
"689,689,""male"",3,7.7958"
"690,690,""female"",1,211.3375"
"691,691,""male"",1,57"
"692,692,""female"",3,13.4167"
"693,693,""male"",3,56.4958"
"694,694,""male"",3,7.225"
"695,695,""male"",1,26.55"
"696,696,""male"",2,13.5"
"697,697,""male"",3,8.05"
"698,698,""female"",3,7.7333"
"699,699,""male"",1,110.8833"
"700,700,""male"",3,7.65"
"701,701,""female"",1,227.525"
"702,702,""male"",1,26.2875"
"703,703,""female"",3,14.4542"
"704,704,""male"",3,7.7417"
"705,705,""male"",3,7.8542"
"706,706,""male"",2,26"
"707,707,""female"",2,13.5"
"708,708,""male"",1,26.2875"
"709,709,""female"",1,151.55"
"710,710,""male"",3,15.2458"
"711,711,""female"",1,49.5042"
"712,712,""male"",1,26.55"
"713,713,""male"",1,52"
"714,714,""male"",3,9.4833"
"715,715,""male"",2,13"
"716,716,""male"",3,7.65"
"717,717,""female"",1,227.525"
"718,718,""female"",2,10.5"
"719,719,""male"",3,15.5"
"720,720,""male"",3,7.775"
"721,721,""female"",2,33"
"722,722,""male"",3,7.0542"
"723,723,""male"",2,13"
"724,724,""male"",2,13"
"725,725,""male"",1,53.1"
"726,726,""male"",3,8.6625"
"727,727,""female"",2,21"
"728,728,""female"",3,7.7375"
"729,729,""male"",2,26"
"730,730,""female"",3,7.925"
"731,731,""female"",1,211.3375"
"732,732,""male"",3,18.7875"
"733,733,""male"",2,0"
"734,734,""male"",2,13"
"735,735,""male"",2,13"
"736,736,""male"",3,16.1"
"737,737,""female"",3,34.375"
"738,738,""male"",1,512.3292"
"739,739,""male"",3,7.8958"
"740,740,""male"",3,7.8958"
"741,741,""male"",1,30"
"742,742,""male"",1,78.85"
"743,743,""female"",1,262.375"
"744,744,""male"",3,16.1"
"745,745,""male"",3,7.925"
"746,746,""male"",1,71"
"747,747,""male"",3,20.25"
"748,748,""female"",2,13"
"749,749,""male"",1,53.1"
"750,750,""male"",3,7.75"
"751,751,""female"",2,23"
"752,752,""male"",3,12.475"
"753,753,""male"",3,9.5"
"754,754,""male"",3,7.8958"
"755,755,""female"",2,65"
"756,756,""male"",2,14.5"
"757,757,""male"",3,7.7958"
"758,758,""male"",2,11.5"
"759,759,""male"",3,8.05"
"760,760,""female"",1,86.5"
"761,761,""male"",3,14.5"
"762,762,""male"",3,7.125"
"763,763,""male"",3,7.2292"
"764,764,""female"",1,120"
"765,765,""male"",3,7.775"
"766,766,""female"",1,77.9583"
"767,767,""male"",1,39.6"
"768,768,""female"",3,7.75"
"769,769,""male"",3,24.15"
"770,770,""male"",3,8.3625"
"771,771,""male"",3,9.5"
"772,772,""male"",3,7.8542"
"773,773,""female"",2,10.5"
"774,774,""male"",3,7.225"
"775,775,""female"",2,23"
"776,776,""male"",3,7.75"
"777,777,""male"",3,7.75"
"778,778,""female"",3,12.475"
"779,779,""male"",3,7.7375"
"780,780,""female"",1,211.3375"
"781,781,""female"",3,7.2292"
"782,782,""female"",1,57"
"783,783,""male"",1,30"
"784,784,""male"",3,23.45"
"785,785,""male"",3,7.05"
"786,786,""male"",3,7.25"
"787,787,""female"",3,7.4958"
"788,788,""male"",3,29.125"
"789,789,""male"",3,20.575"
"790,790,""male"",1,79.2"
"791,791,""male"",3,7.75"
"792,792,""male"",2,26"
"793,793,""female"",3,69.55"
"794,794,""male"",1,30.6958"
"795,795,""male"",3,7.8958"
"796,796,""male"",2,13"
"797,797,""female"",1,25.9292"
"798,798,""female"",3,8.6833"
"799,799,""male"",3,7.2292"
"800,800,""female"",3,24.15"
"801,801,""male"",2,13"
"802,802,""female"",2,26.25"
"803,803,""male"",1,120"
"804,804,""male"",3,8.5167"
"805,805,""male"",3,6.975"
"806,806,""male"",3,7.775"
"807,807,""male"",1,0"
"808,808,""female"",3,7.775"
"809,809,""male"",2,13"
"810,810,""female"",1,53.1"
"811,811,""male"",3,7.8875"
"812,812,""male"",3,24.15"
"813,813,""male"",2,10.5"
"814,814,""female"",3,31.275"
"815,815,""male"",3,8.05"
"816,816,""male"",1,0"
"817,817,""female"",3,7.925"
"818,818,""male"",2,37.0042"
"819,819,""male"",3,6.45"
"820,820,""male"",3,27.9"
"821,821,""female"",1,93.5"
"822,822,""male"",3,8.6625"
"823,823,""male"",1,0"
"824,824,""female"",3,12.475"
"825,825,""male"",3,39.6875"
"826,826,""male"",3,6.95"
"827,827,""male"",3,56.4958"
"828,828,""male"",2,37.0042"
"829,829,""male"",3,7.75"
"830,830,""female"",1,80"
"831,831,""female"",3,14.4542"
"832,832,""male"",2,18.75"
"833,833,""male"",3,7.2292"
"834,834,""male"",3,7.8542"
"835,835,""male"",3,8.3"
"836,836,""female"",1,83.1583"
"837,837,""male"",3,8.6625"
"838,838,""male"",3,8.05"
"839,839,""male"",3,56.4958"
"840,840,""male"",1,29.7"
"841,841,""male"",3,7.925"
"842,842,""male"",2,10.5"
"843,843,""female"",1,31"
"844,844,""male"",3,6.4375"
"845,845,""male"",3,8.6625"
"846,846,""male"",3,7.55"
"847,847,""male"",3,69.55"
"848,848,""male"",3,7.8958"
"849,849,""male"",2,33"
"850,850,""female"",1,89.1042"
"851,851,""male"",3,31.275"
"852,852,""male"",3,7.775"
"853,853,""female"",3,15.2458"
"854,854,""female"",1,39.4"
"855,855,""female"",2,26"
"856,856,""female"",3,9.35"
"857,857,""female"",1,164.8667"
"858,858,""male"",1,26.55"
"859,859,""female"",3,19.2583"
"860,860,""male"",3,7.2292"
"861,861,""male"",3,14.1083"
"862,862,""male"",2,11.5"
"863,863,""female"",1,25.9292"
"864,864,""female"",3,69.55"
"865,865,""male"",2,13"
"866,866,""female"",2,13"
"867,867,""female"",2,13.8583"
"868,868,""male"",1,50.4958"
"869,869,""male"",3,9.5"
"870,870,""male"",3,11.1333"
"871,871,""male"",3,7.8958"
"872,872,""female"",1,52.5542"
"873,873,""male"",1,5"
